Unnamed: 0,Категория товара,Наименование,Ansal код,Ansal название,Цена Ansal Оптовая,Цена Ansal Розничная,Reld код,Reld название,Цена Reld Оптовая,Цена Reld Розничная,Bellini код,Bellini название,Цена Bellini Оптовая,Цена Bellini Розничная,Uriarte код,Uriarte название,Цена Uriarte Оптовая,Цена Uriarte Розничная,Fijamom код ,Fijamom название,Fijamom Цена Fijamom Оптовая,Цена Fijamom Розничная
,*З/Ч К ХОЛОД. ТЕХ.,Lampara 15W rosca E14 clara,138301,Lampara perfume rosca mignon clara-15w--,,,,,,,,,,,,,,,,,,
,**Виброгасители*,"Amortiguador flexible Ø3/4"" L260mm BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Виброгасители*,"Amortiguador flexible Ø1 1 /8"" L330mm BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Гайки*,"Tuerca bronce Ø1/2""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Гайки*,"Tuerca bronce Ø1/4""",853078,Tuerca Bronce 1/4 92004-000040 (TA8-32),,,,,,,,,,,,,,,,,,
,**Гайки*,"Tuerca bronce Ø3/8""",853076,Tuerca Bronce 3/8 92004-000042 (TA8-32),,,,,,,,,,,,,,,,,,
,**Гайки*,"Tuerca bronce Ø5/16""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Гайки*,"Tuerca bronce Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы для установки в проём*,Cooler 120x120x38mm 5 paletas buje,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы осевые*,Ventilador axial succion 4E-300 220V,NOT_FOUND,Motor ventilador Alpha 18------K16800003,,,,,,,,,,,,,,,,,,
,***Вентиляторы осевые*,Ventilador axial succion 4E-350 220V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы осевые*,Ventilador axial succion 4E-400 220V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы осевые*,Ventilador axial succion 4E-450 220V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы осевые*,BlueStar ,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы осевые*,Ventilador axial succion 4D-400 WEIGUANG 380V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы осевые*,Ventilador axial succion 4D-450 380V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы осевые*,Ventilador axial succion 4D-500 380V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
