code,title,price
RFKH01-6.0-22,"Válvula de Expansión Termostática Sin Compensador R22 1/2"" Rosca Sanhua",67172
RFKH01E-6.0-13,"Válvula de Expansión Termostática Con Compensador R22 1/2"" Rosca Sanhua",68266
RFKH03-4.8-21,"Válvula de Expansión Termostática Sin Compensador R404 1/2"" Rosca Sanhua",67174
RFKH03E-4.8-10,"Válvula de Expansión Termostática Con compensador R404 1/2"" Soldar Sanhua",59351
RFKH03E-4.8-15,"Válvula de Expansión Termostática Con Compensador R404 1/2"" Rosca Sanhua",68266
RFKH-023-00,Tobera para válvula de expansión Sanhua Nº 00,10646
RFKH-023-01,Tobera para válvula de expansión Sanhua Nº 01,10646
RFKH-023-02,Tobera para válvula de expansión Sanhua Nº 02,10646
RFKH-023-03,Tobera para válvula de expansión Sanhua Nº 03,10646
RFKH-023-04,Tobera para válvula de expansión Sanhua Nº 04,10646
RFKH-023-05,Tobera para válvula de expansión Sanhua Nº 05,10646
RFKH-023-06,Tobera para válvula de expansión Sanhua Nº 06,10646
RFKH04E-2.9-19,"Válvula de Expansión Termostática Con Compensador R134a 1/2"" Rosca Sanhua",68266
SBV02-319T,"Válvula de Bola 1/4"" Soldable Sanhua",34572
SBV03-319T,"Válvula de Bola 3/8"" Soldable Sanhua",34709
SBV04-319T,"Válvula de Bola 1/2"" Soldable Sanhua",35418
SSV-A2GSHC-23,"Válvula Split - Robinete - de Servicio 1/4"" Soldable - Sanhua",10847
SSV-JA3GSHC-20,"Válvula Split - Robinete - de Servicio 3/8"" Soldable - Sanhua",14807
SSV-JA4GSCH-19,"Válvula Split - Robinete - de Servicio 1/2"" Soldable - Sanhua",19066
SSV-JA5GSHC-15,"Válvula Split o Robinete 5/8"" Soldable - Servicio - Sanhua",24935
SSV-JA6GSHC-13,"Válvula Split - Robinete - de Servicio 3/4"" Soldable - Sanhua",36839
MDF-A03-10H004,"Válvula Solenoide 5/8"" 220V Soldable - Sanhua",74655
MDF-A03-10L002,"Válvula Solenoide 5/8"" 220V Rosca - Sanhua",81180
MDF-A03-15H004,"Válvula Solenoide 7/8"" 220V Soldable - Sanhua",172562
