title,price
KIT HUECO TARUGO 10,950.0
KIT CON TARUGOS DEL 12 Y EL 8,1870.0
TACO MENSULA,1050.0
TACO PISO,1320.0
TACO ANTIVIBRATORIO CUADRADO,132.0
TACO GOMA ANTIVIBRATORIO,112.0
ANTIVIBRATORIO (ELIMINA EL 100% VIBRACION) x unidad,880.0
SOPORTE PARA UNIDAD CONDENSADORA x4,2674.0
Patas originales de motor de heladera,275.0
"AISLACION 1/4 x 6mm x 1,83",586.0
"AISLACION 3/8 x 6mm x 1,83",758.0
"AISLACION 1/2 x 6mm x 1,83",887.0
"AISLACION 5/8 x 6mm x 1,83",1058.0
DREAN 166 JUEGO X3,2860.0
TORNILLO DREAN BLUE ORIGINAL,400.0
TORNILLO ALLEN GRANDE ELECTROLUX Y SAMSUNG,429.0
RULEMAN 6203 zrs (con goma y caja),2548.0
RULEMAN 6204 zrs (con goma),3350.0
RULEMAN 6205 zrs (con goma),3960.0
RULEMAN 6206 zrs (con goma),5656.0
FORZADOR (5w) 100% cobre,8437.0
FORZADOR (10w)  100% cobre,10439.0
FORZADOR (16w) 100% cobre,14729.0
FORZADOR (18w) 100% cobre,16159.0
FORZADOR (25w) 100% cobre,18590.0
FORZADOR (34w) 100% cobre,20020.0
Soporte auxiliar para unidad interior (precio por conjunto de 2 soportes),19800.0
CAJA DE PREINSTALACIÓN,1550.0
CINTA SIN ADHESIVO,1144.0
CAJA ESTANCA 9X9,550.0
Tarugos del 6 con tornillos y arandelas (6 unidades),308.0
Tarugos del 10 con tornillos y arandelas (6 unidades),1045.0
MANTA IGNIFUGA 10mm de espesor(25cm x 30cm),8151.0
Soporte unidad interior conjuntox2 unidades con regulacion,3960.0
"SENSOR DE HELADERA 2,7K",1859.0
SENSOR DE HELADERA 5K,1859.0
SENSOR DE HELADERA 10K,1859.0
SENSORES DE AIRE 5K,2288.0
SENSORES DE AIRE 10K,2288.0
SENSORES DE AIRE 15K,2288.0
TERMOFUSIBLE WHIRPOOL,3289.0
BIMETAL CON FUSIBLE,3718.0
BIMETAL DE HELADERA,3718.0
CONTROL REMOTO UNIVERSAL,1573.0
CAJA TÉRMICA PARA 1,660.0
CAJA TÉRMICA PARA 2 o 1 y ENCHUFE,990.0
CAJA DE PRE INSTALACION EXTERIOR,1320.0
PATA HELADERA COMERCIAL 9cm,275.0
TARUGO PARA PRECINTO 8 (SUPERTARUGO),13.0
"CRISTAL  DE 5/8, 0% FACTURADA, rollo x25 metros",12870.0
UNION PARA MANGUERA DE 5/8,132.0
Codo a 90°,132.0
Y PARA MANGUERA CRISTAL DE 5/8,132.0
PICO DESAGOTE UNIVERSAL,264.0
"presostato (de alta, 410)aire acondicionado Emerson",11000.0
"PALETA 3 ASPAS (40,8cm)",8075.0
"PALETA 4 ASPAS (40,8cm)",9922.0
PALETA FORZADOR (200mm),1316.0
PALETA FORZADOR (230mm),2002.0
PALETA FORZADOR (250mm),2116.0
PALETA FORZADOR (300mm),3375.0
VALVULA CHECK 1/4,1430.0
"COMPRESOR INVERTER 410, 2250 frigorias",110000.0
"COMPRESOR INVERTER 410, 3000 frigorias",110000.0
Capacitor Lavarropa Electrolux Aqua Plus Ewf7800/6800,8000.0
cerigrafia + plaqueta,38500.0
VALVULA INVERSORA 3/8 (sin bobina),12100.0
Válvula lavarropa whirpool,6000.0
Display Heladera Siam Fcx-320xt,15000.0
Cinta scotch transparente 48x100 metros,1100.0
Motor,3500.0
"UNIDAD EXTERIOR FRIO SOLO 2250, 410",250000.0
Electrovalvula philco,7000.0
SWITCH PHILCO,2000.0
AGITADOR PHILCO (ORIGINAL),20000.0
Electrovalvula,8000.0
Cerigrafia philco 708,2500.0
Valvula desagote philco,8500.0
CARCASA+JABONERA Y CABLEADO SAMSUNG WA70/80,30000.0
Plaqueta heladera siam Hft4310x,40000.0
Filtro de lavarropa,1000.0
Motor philco xdt-180,50000.0
Motor secarropa,65000.0
Turbina siam,20000.0
Emerson XWB300D,400000.0
Termostato 16e09-101,76000.0
Controlador dixell. 6 relay XC46OD,320000.0
Calentador de carter 918 0028 01,79200.0
Dixell Emerson XMM669K-5N1CO,280000.0
Zr28k5e tfd 600,643500.0
Zr28k3 pfj 522,643500.0
Zr28k3 tfd 522,643500.0
Zr30k3 pfj 522,643500.0
Zr30k3 tfd 130,643500.0
Zr 47k3 pfj 522,759330.0
Zr61 ke tfd 52e,707850.0
Zr81 kc tfd 430,965250.0
Zr144kce tfd 550,2574000.0
Zr144 kc tfd 551,2059200.0
Zr160 kce tfd 568,2574000.0
Zp24k5e tfd 662,836550.0
Zp61kcetfd 622,965250.0
Zp83kce tfd 522,1544400.0
Zp104 kce tfd 550,2187900.0
Zb19 kce tfd 551,1784640.0
Zb26kcetfd 551,2059200.0
Zb30kce tfd 551,3217500.0
Zb38 kc tfd 551,2123550.0
Zf18k4e tfd 551,3861000.0
Zb48 kce tfd 551,2895750.0
Zf09k4etfd 551,3377660.0
Zf25kqe tfd 551,4979260.0
Zb15kce tfd 551,1673100.0
Zs09 kae pfj 600,939510.0
Zs13 kae tfd 600,1158300.0
Zf11k4e tfd 551,3603600.0
Zf 15 k4e tfd 551,3732300.0
Zs15kae pfj600,1132560.0
Zs19kae tfj 600,1158300.0
Zs26kaepfj 600,1415700.0
Zs38 k4e tfd 551,1847560.0
Tuerca de refrigeracion 1/2,1850.0
