code,name,price
1 1L3,AGITADOR LG 375 MM - MODELO: SINP 357,16558.68
2 3R14,RESISTENCIA MIDEA RF-5218XQR1,23388.43
3 433,ROBINETE 1/2 CURVO 410 ROSCA 5/16,11448.76
3 431,ROBINETE 1/4 CURVO 410 ROSCA 5/16,8747.11
3 432,ROBINETE 3/8 CURVO 410 ROSCA 5/16,10419.83
3 411,ROBINETE AV 01 A1/4,5964.46
3 412,ROBINETE AV 02 A 3/8 CURVO R22,7168.6
3 413,ROBINETE AV 03 A 1/2 CURVO R22,8876.03
3 424,ROBINETE AV 04 5/8 RECTO,10899.17
3 414,ROBINETE AV 04 A 5/8  CURVO,11834.71
2 11FC032,032 C/ROSCA,6080.99
2 11FC032S,032S P/SOLDAR,6817.36
2 11FC052,052 C/ROSCA,6080.99
1 4M1,097  EJE MABE PUNTA GRUESA ROD 06/07,42099.17
1 4M2,102  EJE MABE PUNTA CHICA ROD 06/07- MIDEA WD LZ109,42099.17
1 4M3,109  EJE MABE/PATRICK PUNTA RECTA  ROD 05/06,38590.91
1 4M4,112  EJE MABE/PATRICK PUNTA CONICA  ROD 05/06,38590.91
3 85,ACCESORIO ADICIONAL PUERTA VENTANA + 0.75 CM (TOTAL 2.25M),17541.32
5 3AC1,ACOPLE AUTOMOTOR AZUL,8747.11
5 3AC2,ACOPLE AUTOMOTOR ROJO,8747.11
1 1L1,Agitador 325MM LG MODELO: SINP321,14150.41
1 1P7,AGITADOR 378MM C/TAPA - MODELO: SINP 300,16558.68
1 1W1,Agitador 390MM WH WWI MODELO: WWI390,19880.17
1 1S1,Agitador 396MM SAMSUNG MODELO: SINP 675,22639.67
1 1E1,AGITADOR ENOVA 37.5 CM,15202.48
1 1L2,AGITADOR LG 340MM - MODELO: SINP-474,15565.29
1 1L4,AGITADOR LG 400MM - MODELO: SINP-X35,18114.05
1 1P5,AGITADOR PH 325MM - MODELO: SINP-186,14371.9
1 1P6,AGITADOR PH 375 MODELO: SINP 383,16558.68
1 1P8,AGITADOR PH08/10  - MODELO: SINP 594,19389.26
1 16SM2,AMORTIGUADOR 100N SIAM LSI LF8014B,11694.21
1 16SM1,AMORTIGUADOR 120N SIAM LSILF8014B,11694.21
